DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
01/04/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
15/04/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
02/05/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;2000.00;CHF;;;;"""Demo User""";0;;;;
02/05/2024;INVEST_ORDER_EXECUTED;"""1.3158x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-500.75;CHF;;;;;;;0.75;BUY;1.3158;EQCH;380.00
02/05/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
10/05/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
10/05/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/07/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;1500.00;CHF;;;;"""Demo User""";0;;;;
01/07/2024;INVEST_SELL_EXECUTED;"""8.1307x Switzerland SMI (iShares SMI)""";;;1077.00;CHF;;;;;1.00;SELL;8.1307;CSSMI;133.00
01/07/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/07/2024;INVEST_SELL_EXECUTED;"""60.0000x Silver (Swisscanto Silver)""";;;378.00;CHF;;;;;0.50;SELL;60.0000;CSIL;6.31
01/07/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
15/07/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
22/08/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;1500.00;CHF;;;;"""Demo User""";0;;;;
22/08/2024;INVEST_ORDER_EXECUTED;"""1.2995x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-440.00;CHF;;;;;;;2.85;BUY;1.2995;EQCH;336.40
22/08/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
27/08/2024;INVEST_ORDER_EXECUTED;"""2.3397x Switzerland SMI (iShares SMI)""";-300.25;CHF;;;;;;;0.25;BUY;2.3397;CSSMI;128.22
27/08/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
28/08/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/09/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
26/09/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;2000.00;CHF;;;;"""Demo User""";0;;;;
02/10/2024;INVEST_ORDER_EXECUTED;"""1.9898x Switzerland SMI (iShares SMI)""";-250.20;CHF;;;;;;;0.20;BUY;1.9898;CSSMI;125.64
02/10/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
10/10/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
25/10/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;2500.00;CHF;;;;"""Demo User""";0;;;;
25/10/2024;INVEST_ORDER_EXECUTED;"""1.4607x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-500.75;CHF;;;;;;;0.75;BUY;1.4607;EQCH;342.30
25/10/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
26/10/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
01/11/2024;INVEST_ORDER_EXECUTED;"""0.9660x Switzerland SMI (iShares SMI)""";-120.10;CHF;;;;;;;0.10;BUY;0.9660;CSSMI;124.22
01/11/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
08/11/2024;INVEST_ORDER_EXECUTED;"""1.0126x Switzerland SMI (iShares SMI)""";-125.10;CHF;;;;;;;0.10;BUY;1.0126;CSSMI;123.44
08/11/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
27/11/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;1200.00;CHF;;;;"""Demo User""";0;;;;
27/11/2024;INVEST_ORDER_EXECUTED;"""0.2844x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-101.15;CHF;;;;;;;1.15;BUY;0.2844;EQCH;351.60
27/11/2024;INVEST_ORDER_EXECUTED;"""0.8271x Switzerland SMI (iShares SMI)""";-101.10;CHF;;;;;;;1.10;BUY;0.8271;CSSMI;120.90
27/11/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
30/11/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
05/12/2024;PAYMENT_TRANSACTION_IN;"""Transfer from Demo User""";;;1500.00;CHF;;;;"""Demo User""";0;;;;
05/12/2024;INVEST_ORDER_EXECUTED;"""1.0784x Nasdaq 100 (Invesco EQQQ Nasdaq 100 Acc)""";-400.75;CHF;;;;;;;0.75;BUY;1.0784;EQCH;371.60
05/12/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
05/12/2024;INVEST_ORDER_EXECUTED;"""7.6923x Gold (Swisscanto Gold)""";-200.80;CHF;;;;;;;0.80;BUY;7.6923;IGLD;26.10
05/12/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
10/12/2024;INVEST_ORDER_EXECUTED;"""4.3478x Switzerland SMI (iShares SMI)""";-600.75;CHF;;;;;;;0.75;BUY;4.3478;CSSMI;138.00
10/12/2024;REWARD_RECEIVED;"""Investing bonus""";;;;;;;;;;;5;SWQ;
15/12/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
15/12/2024;REWARD_RECEIVED;"""Card bonus""";;;;;;;;;;;1;SWQ;
